param,val,errup1,errdown1,errup3,errdown3,comment
th12,0.5836381018669038,0.013439035240356337,0.012915436464758038,0.04223696789826278,0.03787364476827695,NUFIT5.1
th13,0.14957471689591403,0.0022689280275926286,0.0020943951023931952,0.006981317007977318,0.006457718232379019,NUFIT5.1
th23,0.8552113334772214,0.017453292519943295,0.022689280275926284,0.048869219055841226,0.16929693744344995,NUFIT5.1
deltal,3.4033920413889427,0.9075712110370514,0.4363323129985824,3.857177646907468,1.5533430342749532,NUFIT5.1
